Genannte Projekte und Initiativen;URL;Beschreibung;Institution
Mercator Projekt - Open Science;https://www.museumfuernaturkunde.berlin/de/wissenschaft/mercator-projekt-open-science;Erforschung von Citizen Science für die Entwicklung von Open Science;Museum für Naturkunde Berlin (MfN)
Open Science am HIIG;https://www.hiig.de/open-science/;Webseite über Open Science am HIIG;Humboldt Institut für Internet und Gesellschaft Berlin (HIIG)
Forschungscluster Open Science;https://www.dzhw.eu/forschung/projekt?pr_id=666;Projekt zur Weiterentwicklung von Open Science am DZHW, Entwicklung eines Forschungsclusters Open Science,;Deutsche Zentrum für Hochschul- und Wissenschaftsforschung (DZHW) 
QURATOR -Curation Technologies;https://qurator.ai/;Nutzbarmachung künstlicher Intelligenz für die Kuratierung großer Datenkorpora;Deutsches Forschungszentrum für künstliche Intelligenz (DFKI), StaBI, Fraunhofer Focus, Berliner IT-Unternehmen, Wikimedia DE
Leitbild des Weizenbaum Instituts für vernetzte Gesellschaft;https://www.weizenbaum-institut.de/das-institut/leitbild/;Offenheit und Partizipation durch Open Access und Open-Science-Praktiken;Weizenbaum-Institut
Berlin Open Science MeetUp;https://www.meetup.com/de-DE/Berlin-Open-Science-Meetup/;Gruppe von Berliner Wissenschaftlerinnen und Wissenschaftlern zu Open Science;Berlin Community
Open Science Conference;https://www.open-science-conference.eu/;jährliche internationale Konferenz der Leibniz Research Alliance Open Science;Leibniz-Gemeinschaft (WGL), Leibniz-Informationszentrum Wirtschaft (ZBW)
Open Science Days;https://osd.mpdl.mpg.de/;jährliche internationale Konferenz der Max Planck Digital Library Berlin;Max-Planck-Gesellschaft (MPG), Max Planck Digital Library (MPDL)
QUEST-Kriterien;https://www.bihealth.org/fileadmin/QUEST/Publikationen/QUEST_Kriterien_31052018.pdf;Merkmale/Kriterien für eine robuste und innovative Forschung;BIH (QUEST Center)
Ausschreibungen und Preise des QUEST Centers;https://www.bihealth.org/de/forschung/quest-center/ausschreibungen-und-preise/;zur Erhöhung der Forschungsqualität;BIH (QUEST Center)
